Ç°ºó×ºÃû³Æ	ÊÇ·ñÇ°×º	ÎåÐÐÊôÐÔÒªÇó	µÈ¼¶ÒªÇó	ÊôÐÔµ÷ÕûÀà±ð	²ÎÊý1×îÐ¡Öµ	²ÎÊý1×î´óÖµ	²ÎÊý2×îÐ¡Öµ	²ÎÊý2×î´óÖµ	²ÎÊý3×îÐ¡Öµ	²ÎÊý3×î´óÖµ	Ð§¹ûËµÃ÷	½ü³ÌÎäÆ÷	°µÆ÷	¿ø¼×	½äÖ¸	ÏîÁ´	Ñ¥×Ó	Ñü´ø	Í·¿ø	»¤Íó	Ñü×¹	Âí
STVL Ngo¹i c«ng	1		1	126	30	30	-1	-1	6	6	¼ÓÉËº¦Ç¿»¯	100000	100000	0	0	0	0	0	0	0	0	0
STVL Ngo¹i c«ng	1		2	126	60	60	-1	-1	6	6	¼ÓÉËº¦Ç¿»¯	200000	200000	0	0	0	0	0	0	0	0	0
STVL Ngo¹i c«ng	1		3	126	90	90	-1	-1	6	6	¼ÓÉËº¦Ç¿»¯	300000	300000	0	0	0	0	0	0	0	0	0
STVL Ngo¹i c«ng	1		4	126	120	120	-1	-1	6	6	¼ÓÉËº¦Ç¿»¯	400000	400000	0	0	0	0	0	0	0	0	0
STVL Ngo¹i c«ng	1		5	126	140	150	-1	-1	6	6	¼ÓÉËº¦Ç¿»¯	500000	500000	0	0	0	0	0	0	0	0	0
STVL Ngo¹i c«ng	1		6	126	150	180	-1	-1	6	6	¼ÓÉËº¦Ç¿»¯	600000	600000	0	0	0	0	0	0	0	0	0
STVL Ngo¹i c«ng	1		7	126	160	210	-1	-1	6	6	¼ÓÉËº¦Ç¿»¯	700000	700000	0	0	0	0	0	0	0	0	0
STVL Ngo¹i c«ng	1		8	126	170	240	-1	-1	6	6	¼ÓÉËº¦Ç¿»¯	800000	800000	0	0	0	0	0	0	0	0	0
STVL Ngo¹i c«ng	1		9	126	180	270	-1	-1	6	6	¼ÓÉËº¦Ç¿»¯	900000	900000	0	0	0	0	0	0	0	0	0
STVL Ngo¹i c«ng	1		10	126	190	300	-1	-1	6	6	¼ÓÉËº¦Ç¿»¯	1000000	1000000	0	0	0	0	0	0	0	0	0
T¨ng chÝnh x¸c	1		1	166	90	90	-1	-1	0	0	¼ÓÃüÖÐÂÊ	100000	100000	0	0	0	0	0	0	0	0	0
