名称	ItemGenre	DetailType	ParticularType	动画文件名	对应物件索引	宽度	高度	说明文字	五行属性	价格	等级	是否叠放	脚本名(参数1)	技能ID(参数1)	参数2(释法类型)	参数3(是否广播)	参数4(是否有等级概念)	参数5(是否快捷键废)	使用后是否消失	金币	是否可放快捷栏	是否有属性	是否立即使用	要求等级相同	要求五行相同	要求幸运相同	要求MagicLevel1相同	要求MagicLevel2相同	要求MagicLevel3相同	要求MagicLevel4相同	要求MagicLevel5相同	要求MagicLevel6相同
技能物品	2	0	0	\spr\item\questkey\taskobj017.spr	9	1	1	技能呀技能呀		100	1	1	28	141	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
剑侠宝物箱	2	1	1	\spr\item\script\item_goldenbox.spr	367	2	2	传说中的宝箱,上面雕刻着神秘的花纹.使用后可以随机得到一样物品		2000	1	0	\script\mineitem\baowubox.lua	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
长命丸	2	0	2	\spr\item\medecine\obj-potion15.spr	19	1	1	5分钟内,生命上限增加500点(重复使用无效).		50	1	0	0	256	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
加跑丸	2	0	3	\spr\item\medecine\obj-potion15.spr	19	1	1	5分钟内,移动速度加快20%(重复使用无效).		50	1	0	0	257	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
大力丸	2	0	4	\spr\item\medecine\obj-potion15.spr	19	1	1	5分钟内,物力攻击增加100点(重复使用无效).		50	1	0	0	258	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
高闪丸	2	0	5	\spr\item\medecine\obj-potion15.spr	19	1	1	5分钟内,闪避率提高500点(重复使用无效).		50	1	0	0	259	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
高中丸	2	0	6	\spr\item\medecine\obj-potion15.spr	19	1	1	5分钟内,命中率提高500点(重复使用无效).		50	1	0	0	260	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
飞速丸	2	0	7	\spr\item\medecine\obj-potion15.spr	19	1	1	5分钟内,攻击速度增加50(重复使用无效).		50	1	0	0	261	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
冰防丸	2	0	8	\spr\item\medecine\obj-potion15.spr	19	1	1	1小时内,冰防御提高40%(重复使用无效).		50	1	1	\script\mineitem\binf.lua	262	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
雷防丸	2	0	9	\spr\item\medecine\obj-potion15.spr	19	1	1	1小时内,雷防御提高40%(重复使用无效).		50	1	1	\script\mineitem\leif.lua	263	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
火防丸	2	0	10	\spr\item\medecine\obj-potion15.spr	19	1	1	1小时内,火防御提高40%(重复使用无效).		50	1	1	\script\mineitem\huof.lua	264	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
毒防丸	2	0	11	\spr\item\medecine\obj-potion15.spr	19	1	1	1小时内,毒防御提高40%(重复使用无效).		50	1	1	\script\mineitem\duf.lua	265	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
烟花	2	0	12	\spr\item\magic\icon_item_baozhu.spr	334	1	1	节日喜庆必备用品.		50	1	1	\script\item\234.lua	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
般若心经	2	1	13	\spr\item\questkey\obj_item_lection.spr	341	1	1	佛家宝典,颂经忏悔可清除负经验.		100	1	0	\script\mineitem\sutra.lua	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
