类型	Exp	Life	LifeReplenish	AttackRating	Defense	MinDamage	MaxDamage	Treasure	WalkSpeed	RunSpeed	AttackSpeed	CastSpeed	SkillID	SkillLevel	FireResist	FireResistMax	ColdResist	ColdResistMax	LightingResist	LightingResistMax	PoisonResist	PoisonResistMax	PhycicsResist	PhycicsResistMax	AiMode	AiParam1	AiParam2	AiParam3	AiParam4	AiParam5	AiParam6	AiParam7	AiParam8	AiParam9	AiParam10	AiMaxTime	PhysicalDamageBase	PhysicalMagicBase	PoisonDamageBase	PoisonMagicBase	ColdDamageBase	ColdMagicBase	FireDamageBase	FireMagicBase	LightingDamageBase	LightingMagicBase	DeathScript	DropRate	nRate
有钱的	20	10	0	20	1	5	5	5	0	0	0	0	146	1|10	50	100	50	100	50	100	50	100	50	100	2	80	25	15	100	25	25	25	20	50		18	100	100	100	100	100	100	100	100	100	100	0	0	0
顽强的	20	10	0	20	1	5	5	7	0	0	0	0	146	1|10	50	100	50	100	50	100	50	100	50	100	2	80	25	15	100	25	25	25	20	50		18	100	100	100	100	100	100	100	100	100	100	0	0	0
九头鸟的	20	10	0	20	1	5	5	7	0	0	0	0	146	1|10	50	100	50	100	50	100	50	100	50	100	2	80	25	15	100	25	25	25	20	50		18	100	100	100	100	100	100	100	100	100	100	0	0	0
快速的	1	10	0	20	5	10	10	8	4	4	2	2	146	1|10	50	100	50	100	50	100	50	100	50	100	2	80	25	15	100	25	25	25	20	50		18	100	100	100	100	100	100	100	100	100	100	0	0	0
凶残的	1	10	0	20	5	10	10	8	0	0	0	0	146	1|10	50	100	50	100	50	100	50	100	50	100	2	80	25	15	100	25	25	25	20	50		18	100	100	100	100	100	100	100	100	100	100	0	0	0
轻灵的	1	10	0	20	5	10	10	8	2	2	0	0	146	1|10	50	100	50	100	50	100	50	100	50	100	2	80	25	15	100	25	25	25	20	50		18	100	100	100	100	100	100	100	100	100	100	0	0	0
金的	1	10	0	20	5	10	10	8	0	0	0	0	146	1|10	50	100	50	100	50	100	100	100	50	100	2	80	25	15	100	25	25	25	20	50		18	100	100	100	100	100	100	100	100	100	100	0	0	0
木的	1	10	0	20	5	10	10	8	0	0	0	0	146	1|10	50	100	50	100	100	100	50	100	50	100	2	80	25	15	100	25	25	25	20	50		18	100	100	100	100	100	100	100	100	100	100	0	0	0
火的	1	10	0	20	5	10	10	8	0	0	0	0	146	1|10	50	100	50	100	50	100	50	100	100	100	2	80	25	15	100	25	25	25	20	50		18	100	100	100	100	100	100	100	100	100	100	0	0	0
水的	1	10	0	20	5	10	10	1	0	0	0	0	146	1|10	100	100	50	100	50	100	50	100	50	100	2	80	25	15	100	25	25	25	20	50		18	100	100	100	100	100	100	100	100	100	100	0	0	0
土的	5	10	0	20	10	15	15	1	0	0	0	0	146	1|10	50	100	100	100	50	100	50	100	50	100	2	80	25	15	100	25	25	25	20	50		18	100	100	100	100	100	100	100	100	100	100	0	0	0
领袖的	5	10	0	20	10	15	15	1	0	0	0	0	146	1|10	50	100	50	100	50	100	50	100	50	100	2	80	25	15	100	25	25	25	20	50		18	100	100	100	100	100	100	100	100	100	100	0	0	0
通用低	5	10	0	20	10	15	15	1	1	1	0	0	146	1|10	100	95	100	95	100	95	100	95	100	95	2	80	25	15	100	25	25	25	20	50		6	100	100	100	100	100	100	100	100	100	100	0	0	0
通用中	5	10	0	20	10	15	15	1	1	1	0	0	146	1|10	150	95	150	95	150	95	150	95	150	95	2	80	25	15	100	25	25	25	20	50		6	100	100	100	100	100	100	100	100	100	100	0	0	0
通用高	5	10	0	20	10	15	15	1	1	1	0	0	146	1|10	200	95	200	95	200	95	200	95	200	95	2	80	25	15	100	25	25	25	20	50		6	100	100	100	100	100	100	100	100	100	100	0	0	0
打宝	5	10	0	20	10	15	15	1	1	1	0	0	146	1|10	75	95	75	95	75	95	75	95	75	95	2	80	25	15	100	25	25	25	20	50		6	100	100	100	100	100	100	100	100	100	100	0	0	0
